Series Name,"Country Name","2015_l"
"Life expectancy at birth, total (years)","Pakistan","65.697"
"Life expectancy at birth, total (years)","Palau",".."
"Life expectancy at birth, total (years)","Panama","77.468"
"Life expectancy at birth, total (years)","Papua New Guinea","64.701"
"Life expectancy at birth, total (years)","Paraguay","73.191"
"Life expectancy at birth, total (years)","Peru","75.621"
"Life expectancy at birth, total (years)","Philippines","71.268"
"Life expectancy at birth, total (years)","Poland","77.4512195121951"
"Life expectancy at birth, total (years)","Portugal","81.1243902439025"
"Life expectancy at birth, total (years)","Puerto Rico","79.695"
"Life expectancy at birth, total (years)","Qatar","80.064"
"Life expectancy at birth, total (years)","Romania","74.9121951219512"
"Life expectancy at birth, total (years)","Russian Federation","71.1834146341463"
"Life expectancy at birth, total (years)","Rwanda","65.298"
"Life expectancy at birth, total (years)","Samoa","72.515"
"Life expectancy at birth, total (years)","San Marino",".."
"Life expectancy at birth, total (years)","Sao Tome and Principe","67.249"
"Life expectancy at birth, total (years)","Saudi Arabia","76.918"
"Life expectancy at birth, total (years)","Senegal","66.879"
"Life expectancy at birth, total (years)","Serbia","75.2878048780488"
"Life expectancy at birth, total (years)","Seychelles","74.2951219512195"
"Life expectancy at birth, total (years)","Sierra Leone","57.189"
"Life expectancy at birth, total (years)","Singapore","82.7439024390244"
"Life expectancy at birth, total (years)","Sint Maarten (Dutch part)","77.219512195122"
"Life expectancy at birth, total (years)","Slovak Republic","76.5634146341463"
"Life expectancy at birth, total (years)","Slovenia","80.7756097560976"
"Life expectancy at birth, total (years)","Solomon Islands","69.583"
"Life expectancy at birth, total (years)","Somalia","54.857"
"Life expectancy at birth, total (years)","South Africa","63.95"
"Life expectancy at birth, total (years)","South Sudan","55.566"
"Life expectancy at birth, total (years)","Spain","82.8317073170732"
"Life expectancy at birth, total (years)","Sri Lanka","74.927"
"Life expectancy at birth, total (years)","St. Kitts and Nevis",".."
"Life expectancy at birth, total (years)","St. Lucia","73.138"
